TITLE,TIME,CATEGORY,DESCRIPTION,CONTENT,KEYWORDS,FROM,LINK
追查長榮鳳凰群聚感染源 18495員工最早發病卻最晚確診,2022-01-25 16:10:00,udn,宜蘭礁溪長榮鳳凰酒店爆出5起確診個案，今天沒再增加。縣衛生局進行疫調發現，第五確診個案18495可能最早發病，她在發病前...,"宜蘭礁溪長榮鳳凰酒店爆出5起確診個案，今天沒再增加。縣衛生局進行疫調發現，第五確診個案18495可能最早發病，她在發病前1月12日及17日曾到台北和同學上課逛街，染疫症狀輕微未留意，爆出酒店疫情後她去篩檢昨天確診，她同學今天確診。



衛生局追蹤發現，該酒店的第一位檢出確診案18443，CT值從26降到19，也就是案18443被發現確診的時間是非常早期的狀態，然後病毒量才逐步增加，造成CT值的下降。



另外4位確診者發病時間18日到23日之間、CT值變化，推論案追查長榮鳳凰群聚感染源18495員工最早發病。這位20幾歲女員工早在1月18日出現輕微咳嗽及流鼻水，是5起確診中最早有症狀，在酒店爆出同事18443確診後，她於24日篩檢確診，CT值24最高，是最後一位確診者。



根據足跡調查顯示，案18495於1月12日及17日曾到台北和某科技大學的同學上課並逛街，同學1月20日出現身體痠痛、鼻塞及咳嗽有痰症狀，同學得知案18495確診後也去篩檢，今天公布確診列入個案18521，CT值22.3。



這位18495女員工在酒店工作的過程中，也與其他4位確診的酒店同事有所接觸。



目前初步查出，礁溪長榮鳳凰酒店5起群聚感染中的最早發病者案18495，但減染源頭還要續追。縣衛生局與中央流行疫情指揮中心等單位正依照確診個案狀況，繼續合作追查感染源。

 ▪【疫情專題】1月25日增13例本土、25例境外 無個案死亡 ▪【整理包】第3劑怎麼選？一圖看懂各劑種組合效能、副作用強度 ▪【QA整理包】超實用日期對照表 一張圖秒看懂何時能打第三劑 ▪【教學文】一掃便知！數位新冠健康證明、台北通疫苗護照 操作流程看過來 

新冠肺炎
COVID-19
宜蘭




                    宜蘭礁溪長榮鳳凰酒店疫情延燒，指揮中心表示，礁溪長榮鳳凰酒店確診員工案18495，其20多歲女性友人案18521也確診，...                  

                    新冠肺炎本土疫情再起，國內今天新增13名本土個案、25名境外移入個案，無死亡個案。指揮中心指揮官陳時中表示，本土個案較少...                  

                    今年學測1月21日至23日舉行，高雄傳出有1名考生在1月24日確診，高雄市衛生局緊急清消考場，同試場的考生及接觸師生已居...                  

                    國內疫情持續延燒，簡訊實聯制有助疫調，然而許多民眾集體聚會時，會由一人代表實聯制，並在簡訊後方「+數字」，但高雄市卻表示...                  

                    高雄港埠爆發群聚感染，今高雄港區確診個案新增4例，其中3例歸高雄個案、1例歸台南個案。市府今天下午也公布最新的確診個案足...                  

                    台南市在這一波Omicron變種病毒疫情中也淪陷，下午市府公布新增兩確診個案，台南市長黃偉哲表示，從近期的疫調發現民眾的...                  ","新冠肺炎,COVID-19,宜蘭",聯合新聞網,https://udn.com/news/story/120940/6059694
桃園今增7本土 鄭文燦：3例感染源不明需追查,2022-01-25 15:54:00,udn,桃園今天新增7例本土，包括華盛頓幼兒園1位家長，一對感染源不明、讀同一幼兒園的姊妹，和1例感染源不明、住在龍潭的退休人士...,"桃園今天新增7例本土，包括華盛頓幼兒園1位家長，一對感染源不明、讀同一幼兒園的姊妹，和1例感染源不明、住在龍潭的退休人士。亞旭群聚案今天沒有新增案例，市長鄭文燦表示，昨天在園區採檢2619人都是陰性，但園區要清零，包括社區採檢和移工快篩都要持續。



鄭文燦表示，今天有3例都是隔離期滿篩檢確診，包括一位是華盛頓幼兒園的家長，還有兩例是先前居服員乾妹的職場接觸者中延伸個案，由於都在居隔範圍，對社區威脅較小。



鄭文燦表示，今天有3例感染源不明，包括一對姐妹（6歲和3歲）確診，姊姊先發病，兩人就讀同一所幼兒園，現已完成350位師生採檢。龍潭有一名58歲退休人員，活動範圍遍及桃園和新竹，感染源還需要進一步調查，現已匡列4人居家隔離。



而案18521是20歲女性，因曾接觸確診的宜蘭礁溪飯店員工，隔兩天也確定染疫。



鄭文燦表示，昨天包括全市11個社區採檢站和遠雄自貿港的採檢站，採檢結果都是陰性，今天對遠雄自貿港的加值園區、宿舍等紅區員工二採，也將針對移工常去的餐廳、商圈、教會擴大採檢，確保社區沒有隱形傳播鏈。

 ▪【疫情專題】1月25日增13例本土、25例境外 無個案死亡 ▪【整理包】第3劑怎麼選？一圖看懂各劑種組合效能、副作用強度 ▪【QA整理包】超實用日期對照表 一張圖秒看懂何時能打第三劑 ▪【教學文】一掃便知！數位新冠健康證明、台北通疫苗護照 操作流程看過來 

新冠肺炎
COVID-19




                    宜蘭礁溪長榮鳳凰酒店疫情延燒，指揮中心表示，礁溪長榮鳳凰酒店確診員工案18495，其20多歲女性友人案18521也確診，...                  

                    新冠肺炎本土疫情再起，國內今天新增13名本土個案、25名境外移入個案，無死亡個案。指揮中心指揮官陳時中表示，本土個案較少...                  

                    今年學測1月21日至23日舉行，高雄傳出有1名考生在1月24日確診，高雄市衛生局緊急清消考場，同試場的考生及接觸師生已居...                  

                    國內疫情持續延燒，簡訊實聯制有助疫調，然而許多民眾集體聚會時，會由一人代表實聯制，並在簡訊後方「+數字」，但高雄市卻表示...                  

                    高雄港埠爆發群聚感染，今高雄港區確診個案新增4例，其中3例歸高雄個案、1例歸台南個案。市府今天下午也公布最新的確診個案足...                  

                    台南市在這一波Omicron變種病毒疫情中也淪陷，下午市府公布新增兩確診個案，台南市長黃偉哲表示，從近期的疫調發現民眾的...                  ","新冠肺炎,COVID-19",聯合新聞網,https://udn.com/news/story/120940/6059634
圓山廚師一家3口染疫 居隔及擴大採檢306人PCR結果出爐,2022-01-25 16:13:00,udn,中央流行疫情指揮中心今公布，台北新增11例境外移入，年齡介於10歲至60多歲，男性4名、女性7名，分別來自加拿大（3案）...,"中央流行疫情指揮中心今公布，台北新增11例境外移入，年齡介於10歲至60多歲，男性4名、女性7名，分別來自加拿大（3案）、印度（3案）、美國（2案）、中國（1案）、土耳其（1案）、羅馬尼亞（1案），均在檢疫期間及檢疫期滿採檢陽性確診，已收治檢疫所及醫院隔離治療。



針對圓山飯店西點女廚師一家三口確診案18375（房仲業哥哥）、案18396（圓山飯店西點女廚師妹妹）、案18441（家管媽媽）擴大採檢結果，北市衛生局說明，截至今中午12時止，上述3例個案合計匡列居家隔離248人，其中1人陽性，為新北市本土個案18518（房仲業哥哥的客戶），203人陰性、44人檢驗中。另擴大採檢306人，其中98人陰性、208人採檢中，而職場員工506人的快篩結果均為陰性。



衛生局呼籲，有足跡重疊民眾，應在2天內完成PCR採檢，並加強自我健康監測，每日定時量體溫及監控有無疑似狀況，若有發燒、腹瀉、喉嚨痛、咳嗽等呼吸道症狀或嗅味覺異常等，應盡速就醫或前往北市聯醫和平、中興、仁愛、陽明、忠孝院區、關渡及萬芳醫院等7家北市醫院採檢站採檢。



此外，因應春節將至，考量部分學生尚未完成疫苗接種，北市衛生局協調中國附醫、馬偕醫院及北市聯醫仁愛院區，加開學生BNT疫苗特別門診，呼籲尚未接種的12至17歲青少年，在家長陪同前往接種並簽署同意書，接種民眾需攜帶黃卡及健保卡。

 ▪【疫情專題】1月25日增13例本土、25例境外 無個案死亡 ▪【整理包】第3劑怎麼選？一圖看懂各劑種組合效能、副作用強度 ▪【QA整理包】超實用日期對照表 一張圖秒看懂何時能打第三劑 ▪【教學文】一掃便知！數位新冠健康證明、台北通疫苗護照 操作流程看過來 

新冠肺炎
COVID-19
圓山飯店




                    宜蘭礁溪長榮鳳凰酒店疫情延燒，指揮中心表示，礁溪長榮鳳凰酒店確診員工案18495，其20多歲女性友人案18521也確診，...                  

                    新冠肺炎本土疫情再起，國內今天新增13名本土個案、25名境外移入個案，無死亡個案。指揮中心指揮官陳時中表示，本土個案較少...                  

                    今年學測1月21日至23日舉行，高雄傳出有1名考生在1月24日確診，高雄市衛生局緊急清消考場，同試場的考生及接觸師生已居...                  

                    國內疫情持續延燒，簡訊實聯制有助疫調，然而許多民眾集體聚會時，會由一人代表實聯制，並在簡訊後方「+數字」，但高雄市卻表示...                  

                    高雄港埠爆發群聚感染，今高雄港區確診個案新增4例，其中3例歸高雄個案、1例歸台南個案。市府今天下午也公布最新的確診個案足...                  

                    中央流行疫情指揮中心今公布，台北新增11例境外移入，年齡介於10歲至60多歲，男性4名、女性7名，分別來自加拿大（3案）...                  ","新冠肺炎,COVID-19,圓山飯店",聯合新聞網,https://udn.com/news/story/120940/6059709
新冠病毒快速檢測晶片檢測只需三分鐘 預計二月上市,2022-01-25 16:11:00,udn,正當疫情升溫之際，蔚華科（3055）子公司矽基分子今日宣布世界首創的高靈敏度、高準確度「新冠病毒快速檢測晶片」，在科技部...,"正當疫情升溫之際，蔚華科（3055）子公司矽基分子今日宣布世界首創的高靈敏度、高準確度「新冠病毒快速檢測晶片」，在科技部、中研院、國研院儀科中心及高雄榮民總醫院共同努力下，已完成臨床驗證142例，並於2021年底取得衛福部之緊急使用授權，預計今年2月上市銷售。



矽基分子電測執行長褚家容表示，相較於現行檢測方式，「新冠病毒快速檢測晶片」單次樣本檢測只需３分鐘；包括檢體、陰性陽性樣本對照及作業時間等完整檢測流程可在20分鐘內取得檢測結果。



矽基分子表示，「新冠病毒快速檢測晶片」的問世，運用中研院物理所量子電子元件實驗室團隊先期開發已取得台灣及美國專利的生物矽基場效電晶體（Bio-FET）平台，結合矽基分子電測自行開發的新世代檢測技術與製程；科技部轄下國家實驗研究院台灣儀器科技研究中心（國研院儀科中心）所負責的「醫材加速器」協助進行安規驗證；最後由高雄榮民總醫院（高雄榮總）完成臨床驗證分析，終於使高靈敏度且高準確度的「新冠病毒快速檢測晶片」受TFDA/ EUA核准。



高雄榮總副院長陳垚生指出，該系統經新冠病毒核酸臨床檢測結果，敏感性96.8%，特異性95.1%，且Ct值35以下的檢體，陽性一致率為100%；換言之，核酸不需經過擴增，對於體內病毒含量極低的感染初期或無症狀新冠肺炎患者，準確率達9成5以上，將對防疫檢測及疫情提供極大助力，可讓病人及早隔離或治療，避免社區感染，提升早期快速檢測能量。



褚家容表示，「新冠病毒快速檢測晶片」能順利取得EUA並準備上市銷售，半導體及ICT產業鏈上下游的神助攻皆功不可沒，其中深耕半導體整合解決方案三十餘年的蔚華科技，成功催生生醫及半導體跨領域整合成功，積極推動系統開發至量產之進程，協助矽基分子快速突破進入量產面臨的種種瓶頸。



秦家騏表示，在本產品取得TFDA/ EUA核可後，也將繼續透過蔚華在半導體業的影響力，協助推動產業鏈的上下游串連，讓「新冠病毒快速檢測晶片」在量產上市的過程更加順利。



矽基分子成立於2014年，核心團隊自1997年即展開奈米矽線場效應電晶體的相關研究，是台灣最早開始研究此領域的團隊，矽基分子也是唯一一間由專業研究團隊所創辦的公司。

 ▪【疫情專題】1月25日增13例本土、25例境外 無個案死亡 ▪【整理包】第3劑怎麼選？一圖看懂各劑種組合效能、副作用強度 ▪【QA整理包】超實用日期對照表 一張圖秒看懂何時能打第三劑 ▪【教學文】一掃便知！數位新冠健康證明、台北通疫苗護照 操作流程看過來 

新冠肺炎
COVID-19
晶片




                    宜蘭礁溪長榮鳳凰酒店疫情延燒，指揮中心表示，礁溪長榮鳳凰酒店確診員工案18495，其20多歲女性友人案18521也確診，...                  

                    Omicron疫情肆虐全球，連帛琉也遭攻陷，我國昨日新增2名境外移入，是首見從帛琉返台的確診陽性個案，為當地居住，非旅遊...                  

                    新冠肺炎本土疫情再起，國內今天新增13名本土個案、25名境外移入個案，無死亡個案。指揮中心指揮官陳時中表示，本土個案較少...                  

                    今年學測1月21日至23日舉行，高雄傳出有1名考生在1月24日確診，高雄市衛生局緊急清消考場，同試場的考生及接觸師生已居...                  

                    國內疫情持續延燒，簡訊實聯制有助疫調，然而許多民眾集體聚會時，會由一人代表實聯制，並在簡訊後方「+數字」，但高雄市卻表示...                  

                    高雄港埠爆發群聚感染，今高雄港區確診個案新增4例，其中3例歸高雄個案、1例歸台南個案。市府今天下午也公布最新的確診個案足...                  ","新冠肺炎,COVID-19,晶片",聯合新聞網,https://udn.com/news/story/120940/6059700
實聯制簡訊後面「+人數」會變亂碼？ 指揮中心解密,2022-01-25 15:55:00,udn,國內疫情持續延燒，簡訊實聯制有助疫調，然而許多民眾集體聚會時，會由一人代表實聯制，並在簡訊後方「+數字」，但高雄市卻表示...,"國內疫情持續延燒，簡訊實聯制有助疫調，然而許多民眾集體聚會時，會由一人代表實聯制，並在簡訊後方「+數字」，但高雄市卻表示，後台只能看到實聯制訊息，沒辦法看到有幾人同行，會形成亂碼，呼籲民眾盡量個別完成實聯制。對此指揮中心給予回應。



高雄市衛生局於24日記者會提及，民眾掃描簡訊實聯制，後台只能看到電話號碼、時段，以及此門號於何時到何處，以及電信公司提供的部分個資。如果民眾在簡訊後方加上「數字」，從後台看只會剩電話號碼，後面許多資訊會變成亂碼。



指揮中心發言人莊人祥表示，簡訊實聯制後方「+人數」，目前是可以使用的。有關高雄出現亂碼訊息，中央與高雄市衛生局了解後，得知是系統匯出資料時正常，但使用者以excel開啟設定欄位時，誤將文字設定成數字，因此才出現亂碼，只要設定好就沒問題，也與高雄解釋過不是問題。



莊人祥說，針對報導指出，簡訊實聯制下載時會有個資，這部分一樣是誤解，簡訊實聯制除了個人傳送的電話以及店家資訊，並沒有個資。



指揮官陳時中表示，「+N」主要是方便統計人數，更打比方「如果我和莊（莊人祥）去，他登記了把我＋1，疫調時我會變成二手訊息，搞不好他（莊人祥）會忘記，但實聯制就是為了即時搜集風險資訊」，他仍希望大家盡量配合，用自己的電話實聯制。

 ▪【疫情專題】1月25日增13例本土、25例境外 無個案死亡 ▪【整理包】第3劑怎麼選？一圖看懂各劑種組合效能、副作用強度 ▪【QA整理包】超實用日期對照表 一張圖秒看懂何時能打第三劑 ▪【教學文】一掃便知！數位新冠健康證明、台北通疫苗護照 操作流程看過來 

新冠肺炎
COVID-19
實聯制
莊人祥




                    宜蘭礁溪長榮鳳凰酒店疫情延燒，指揮中心表示，礁溪長榮鳳凰酒店確診員工案18495，其20多歲女性友人案18521也確診，...                  

                    新冠肺炎本土疫情再起，國內今天新增13名本土個案、25名境外移入個案，無死亡個案。指揮中心指揮官陳時中表示，本土個案較少...                  

                    今年學測1月21日至23日舉行，高雄傳出有1名考生在1月24日確診，高雄市衛生局緊急清消考場，同試場的考生及接觸師生已居...                  

                    國內疫情持續延燒，簡訊實聯制有助疫調，然而許多民眾集體聚會時，會由一人代表實聯制，並在簡訊後方「+數字」，但高雄市卻表示...                  

                    高雄港埠爆發群聚感染，今高雄港區確診個案新增4例，其中3例歸高雄個案、1例歸台南個案。市府今天下午也公布最新的確診個案足...                  

                    台南市在這一波Omicron變種病毒疫情中也淪陷，下午市府公布新增兩確診個案，台南市長黃偉哲表示，從近期的疫調發現民眾的...                  ","新冠肺炎,COVID-19,實聯制,莊人祥",聯合新聞網,https://udn.com/news/story/120940/6059641
2021年美墨邊境闖關 近200萬移民被捕創新高,2022-01-25 16:32:00,udn,今天公布的官方數字顯示，去年12月約有近18萬名移民試圖從墨西哥闖關進入美國而被拘捕,"今天公布的官方數字顯示，去年12月約有近18萬名移民試圖從墨西哥闖關進入美國而被拘捕。



美國南部邊境12月新增拘押人數17萬8840人，2021年全年累計拘禁近兩百萬人，寫下新高紀錄。



共和黨為此迅速指控民主黨籍總統拜登和副總統賀錦麗（Kamala Harris）製造了「歷史性人道危機」。共和黨全國委員會（RNC）主席麥丹尼爾（RonnaMcDaniel）在一項聲明中表示：「在他們（民主黨）的監督下，人蛇集團猖獗，邊境關務人員不堪負荷，我們的社區更不安全了。」



抵達美國的移民人數在COVID-19（2019冠狀病毒疾病）疫情初期有顯著減少，但2020年稍晚開始增加，接著在拜登2021年1月就任總統後大增。拜登進入白宮後，承諾以更人道方式對待移民，導致一些未經移民申請程序的外國人為了逃離貧窮和暴力，更大量湧入美國。



在酷熱夏日，試圖闖關的移民通常會減少；但美國國土安全部（Department of Homeland Security）表示，去年7月間非法橫越美墨邊界的移民中，被攔下的人數創「空前」新高，約20萬人。



這批闖關移民對民主黨政府而言，在人力、後勤和財政上形成巨大挑戰，尤其是拜登政府主張不遣返沒大人陪伴的未成年人。



拜登政府致力改革移民系統，但法案在國會中擱置，預料此一議題在今年11月期中選舉時，將成為重大議題。","移民,拜登,美國,墨西哥",聯合新聞網,https://udn.com/news/story/6813/6059656
派對門再添醜聞1樁 英首相強生傳本周下台,2022-01-25 15:30:00,udn,英國首相強生先前被爆料封城期間在官邸唐寧街開派對，引起各方批評，強生道歉止血。不過「派對門」風暴進一步擴大，英國獨立電視...,"英國首相強生先前被爆料封城期間在官邸唐寧街開派對，引起各方批評，強生道歉止血。不過「派對門」風暴進一步擴大，英國獨立電視台ITV又報導，早在2020年6月英國第一次封城期間，強生就已經違規，在唐寧街官邸舉行生日派對。



不過強生辦公室否認報導內容，表示在官邸接待親友的說法不是真的。英國政府官員持續在調查相關集會，預計本周將會公布一份報告。許多保守黨後座議員正等待報告公布和強生如何回應，以決定是否發動不信任投票攆走他。副首相拉布表示，如果顯示強生誤導國會，預計他得辭職。消息人士說：「假如強生本周末仍是首相，我會非常驚訝」。



綜合媒體報導，唐寧街發言人在一項聲明中表示，一批官員在2020年6月19日強生生日當天，在內閣會議室結束會議後替為強生慶生，「首相只露面不超過10分鐘」。



雖然慶生派對只短暫舉辦，但根據英國首次封城期間的防疫社交規定，所有室內聚會皆是被禁止的，室外集會只允許最多6人。



另據ITV報導，強生在封城期間的慶生派對有兩場，其中一場由強生妻子西蒙茲主辦，有多達30人在首相官邸的內閣會議室舉行派對；強生收到一個生日蛋糕，西蒙茲帶領幕僚高唱生日快樂歌。另一場則是前一晚舉辦，強生的親友在官邸內獲得招待。



這起最新的派對門指控，可說是為席捲強生的下台壓力火上澆油。強生因為被爆料在封城期間於夏天舉辦花園派對，以及聖誕節時在唐寧街開趴，過去數周遭受工黨甚至同黨的保守黨人士圍剿，並且正遭受調查。相關調查報告將在這幾天出爐，很可能是壓垮強生的最後一根稻草。

","新冠肺炎,COVID-19,強生,保守黨",聯合新聞網,https://udn.com/news/story/121707/6058570
集邦估2022年全球電視出貨2.17億台 年增3.4%,2022-01-25 15:42:00,udn,研調機構集邦科技今天公布最新調查，受惠於小尺寸電視需求遞延，將帶動2022年整體電視出貨量成長3.4%，達2.17億台,"研調機構集邦科技今天公布最新調查，受惠於小尺寸電視需求遞延，將帶動2022年整體電視出貨量成長3.4%，達2.17億台。

集邦報告顯示，2021年電視出貨量2.1億台。進入2022年，面板產能充裕，電視面板價格大起大落的情況將不復見，取而代之的是平穩和緩的漲跌態勢。經過2021年下半年電視面板價格大幅修正後，今年面板價格將有利於品牌商的布局。

另外，去年東南亞和新興市場受到COVID-19（2019冠狀病毒疾病）疫情打擊，加上面板價格過高，導致電視品牌商減少對小尺寸23.6吋、32吋和43吋等產品的供應，需求被迫遞延；但2022年小尺寸電視面板價格已貼近面板廠現金成本，有利於品牌重新提高小尺寸的出貨比重，39吋以下出貨比重將維持在25%。

中尺寸電視40至59吋出貨比重維持在55%，60吋以上大尺寸仍是國際品牌聚焦的產品，市占率有望直上20%。

集邦指出，2021年電視品牌上半年市況受美國發放救濟金帶動，使北美出貨持續暢旺；同時，品牌持續進行面板庫存回補，讓面板價格不斷攀高。

不過，2021年下半年歐美疫情趨緩，生活回復正軌，疫情紅利不再，電視需求也面臨考驗。

此外，原物料和運費高漲，墊高電視成本，品牌業者不得不將成本轉嫁至終端售價。即便有年底雙11及黑五兩大促銷假期，但成效不彰，終端需求也就此一蹶不振，最終使2021年電視出貨量年衰退3.2%，達2.1億台。","電視面板,疫情",聯合新聞網,https://udn.com/news/story/6811/6059570
台南出現兩確診個案 黃偉哲：未落實實聯制罰3千到1萬5,2022-01-25 16:40:00,udn,台南市在這一波Omicron變種病毒疫情中也淪陷，下午市府公布新增兩確診個案，台南市長黃偉哲表示，從近期的疫調發現民眾的...,"台南市在這一波Omicron變種病毒疫情中也淪陷，下午市府公布新增兩確診個案，台南市長黃偉哲表示，從近期的疫調發現民眾的實聯制並未完全落實，一旦發生疫情，可能成為防疫破口，之後如果發現未落實，將依傳染病防治法開罰，情節嚴重會開罰到最高的1萬5000元。



台南市衛生局局長許以霖今天在疫情記者會中也表示，新增的病例中，案18533在發病後，直接前往診所就診，造成診所醫護人員也被匡列，擔心未來如果病例多，可能影響台南市的醫療量能，所以從今天起要求看上呼吸道疾病的醫療院所醫護人員，都要戴N95口罩、穿防護衣及面罩等，市府也會再增購快篩試劑，讓患者在就醫前先快篩，避免直接進入診所，造成診所關門。



許以霖表示，台南中西區的個案是一家母女三人自美國返國後，在防疫旅館居家檢疫時，小女兒先確診，媽媽去醫院照顧，也跟著確診，後來未滿18歲的長女，依規定由住在中西區的70多歲外祖母照顧，長女之後也確診，外祖母最後確診，由於都依規定在家中未外出，只有一名親友送餐點，社區感染的風險應該很低，只有這名親友被匡列居家隔離。



衛生局表示，母女三人都確診，目前算是境外移入個案，只有外祖母算本土個案，為個案18522。



另外，18533是因為前往高雄與高雄港的群聚個案有接觸，因而染疫，黃偉哲表示，這名個案在22日就出現症狀，但卻沒有警覺性，依然趴趴走，先後前往甲嘴王肉圓善化店、新化東林蝦仁飯、安定王家麵店用餐，在23日上午8點半到10點半間，還前往人潮眾多的新化年貨大街逛街，一直到24日獲知高雄的親友確診，才由女兒購買快篩劑篩檢，晚間才通知衛生局，如果在22日就警覺快篩，後續就不會有擴散的機會，相當可惜。



黃偉哲表示，從之前的玄饌餐廳喜宴有確診者，到最新的疫情，發現有不少人防疫鬆懈，並沒有做好簡訊實聯制，之後一旦查到，會嚴格依法開罰3000到1萬5000元。



許以霖表示，新化年貨大街明天也將停業一天，請在23日曾前往逛街者，一旦有症狀出現，要盡快篩檢。台南市政府今天前往新化年貨大街消毒。圖／市府提供台南市今天新增兩確診個案。圖／市府提供台南市政府今天前往新化年貨大街消毒。圖／市府提供台南市今天新增兩確診個案。圖／市府提供台南市今天新增兩確診個案。圖／市府提供

 ▪【疫情專題】1月25日增13例本土、25例境外 無個案死亡 ▪【整理包】第3劑怎麼選？一圖看懂各劑種組合效能、副作用強度 ▪【QA整理包】超實用日期對照表 一張圖秒看懂何時能打第三劑 ▪【教學文】一掃便知！數位新冠健康證明、台北通疫苗護照 操作流程看過來 

新冠肺炎
COVID-19
台南
黃偉哲
實聯制




                    宜蘭礁溪長榮鳳凰酒店疫情延燒，指揮中心表示，礁溪長榮鳳凰酒店確診員工案18495，其20多歲女性友人案18521也確診，...                  

                    新冠肺炎本土疫情再起，國內今天新增13名本土個案、25名境外移入個案，無死亡個案。指揮中心指揮官陳時中表示，本土個案較少...                  

                    今年學測1月21日至23日舉行，高雄傳出有1名考生在1月24日確診，高雄市衛生局緊急清消考場，同試場的考生及接觸師生已居...                  

                    國內疫情持續延燒，簡訊實聯制有助疫調，然而許多民眾集體聚會時，會由一人代表實聯制，並在簡訊後方「+數字」，但高雄市卻表示...                  

                    高雄港埠爆發群聚感染，今高雄港區確診個案新增4例，其中3例歸高雄個案、1例歸台南個案。市府今天下午也公布最新的確診個案足...                  

                    台南市在這一波Omicron變種病毒疫情中也淪陷，下午市府公布新增兩確診個案，台南市長黃偉哲表示，從近期的疫調發現民眾的...                  ","新冠肺炎,COVID-19,台南,黃偉哲,實聯制",聯合新聞網,https://udn.com/news/story/120940/6059805
澳洲2周暴增118萬例 南韓單日確診創新高,2022-01-25 15:25:00,udn,Omicron變種病毒在全球肆虐，澳洲截至24日累計確診超過168萬，光是本月10日到23日的2周內就新增118萬；韓國...,"Omicron變種病毒在全球肆虐，澳洲截至24日累計確診超過168萬，光是本月10日到23日的2周內就新增118萬；韓國單日確診人數新增8571例，創下新高紀錄；日本新增2萬2374例確診，已有327間托兒所因疫情休園，創新高。新加坡23日新增3496例確診，比前一天高出逾4成，衛生部預計，未來數周確診病例料將激增，可能在農曆新年前後達到高峰。



澳洲24日新增4萬681例、58人不治，大部分發生在人口最多的新南威爾斯、維多利亞省和昆士蘭省。大部分省政府重新實施社交限制和強制口罩令等。



此外，由於大量運輸工人居家隔離，全國供應鏈出現危機，澳洲許多超市貨價一空，居民需要跨區購買物資。同時，居家快篩的RAT試劑一劑難求，民眾需要到檢測站進行傳統的PCR檢測，導致各地的檢測站大排長龍。



韓聯社報導，Omicron變異株已成為南韓主要變異株，截至24日，南韓單日新增確診連續4天超過7000例，專家認為，韓國單日確診人數可能在未來一週內突破一萬例，當局將逐步啟動新應對體制，總統文在寅要求人們在春節假期戴上口罩、接種疫苗並避免外出。



日本24日全境新增確診2萬2374例，較前幾天低，但東京24日新增8503例，比上周一增加超過兩倍，創下周一新高。目前已有27個都道府縣共327間托兒所因疫情休園，創新高紀錄。目前16都縣正實施「防止蔓延等重點措施」，日本政府規劃擴大納入大阪、北海道等18道府縣，總計共34地，預計實施至2月20日。



新加坡當局警告，未來數周確診將激增，可能日增1萬至1.5萬例。但當局並未收緊春節聚會的防疫措施，民眾仍可以在餐廳內用，一桌最多5人，不少餐廳表示年夜飯訂位已滿。

澳洲民眾21日黃金海岸大學醫院一個新冠檢測中心受檢。圖／歐新社","新冠肺炎,COVID-19,澳洲,南韓,Omicron,Omicron變異株",聯合新聞網,https://udn.com/news/story/121707/6058573
